Raw,Mapped
وانت مزدا,وانت مزدا
وانت کارا,کارا
وانت کاپرا,کاپرا
لندمارك,لندمارک
B30,b30
هاوال,هاوال
دیگنیتی ,dignity
فیدلیتی ,fidelity
 Respect,respect
دیگنیتی prestige  ,dignity prestige
فیدلیتی پرستیژ,fidelity prestige
T77,t77
مزدا3 جدید,مزدا 3 جدید
مزدا 3,مزدا 3
مزدا 2,مزدا 2
G9,g9
Inroads,inroads
FVR/FVZ,fvr
MAXUS,maxus
شیلر,shiller
NKR55,nkr77
NPR70,npr70
NQR70PL,nqr70
مینی یاس سحر,minibus sahar700p
PEGASUS,pegasus
FORCE 6T 8T,force
Empowe,empower bd300
NPR75,npr75m
NKR77,nkr77
NMR85,nmr85e
BD300,empower bd300
FORCE 12T(F210),force210
BAIC X9,baic x9
فورس 3/8 تن,force
مینی بوس شیلر,shiller
TIGER,tigerv
J6,j6
عمومی,عمومی
